CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
A93,10,,"Other viral fevers, transmitted by arthropods not elsewhere classified",A93   Outr febres p/virus transm p/artropodes NCOP,A93 othe fevers p / p transm virus / arthropods NEC,,Outras febres por v�_rus transmitidas por artr�_podes ṇo classificadas em outra parte,
A94,10,,"Viral fever transmitted by arthropods, unspecified",A94   Febre viral transm p/artropodes NE,A94 Fever virus transm p / NE arthropods,,"Febre viral transmitida por artr�_podes, ṇo especificada",
A95,10,,Yellow fever,A95   Febre amarela,A95 Yellow fever,,Febre amarela,
A96,10,,Haemorrhagic fever arenaviruses,A96   Febre hemorragica p/arenavirus,A96 hemorrhagic fever p / arenavirus,,Febre hemorr��gica por arenav�_rus,
A98,10,,"Other viral haemorrhagic fevers, not elsewhere classified",A98   Outr febres hemorragicas p/virus NCOP,A98 hemorrhagic fevers othe p / virus NEC,,"Outras febres hemorr��gicas por v�_rus, ṇo classificadas em outra parte",
A99,10,,Unspecified viral haemorrhagic fevers,A99   Febres hemorragicas virais NE,A99 viral hemorrhagic fevers NE,,Febres hemorr��gicas virais ṇo especificadas,
B00,11,,Infections by herpes viruses [herpes simplex],B00   Infecc p/virus do herpes,B00 infection due w / herpesvirus,,Infec̵̤es pelo v�_rus do herpes [herpes simples],
B01,11,,Varicella [chickenpox],B01   Varicela,B01 Varicella,,Varicela [Catapora],
B02,11,,Herpes zoster [Zone],B02   Herpes zoster,B02 Herpes Zoster,,Herpes zoster [Zona],
B03,11,,Smallpox,B03   Variola,B03 Variola,,Var�_ola,
B04,11,,Monkeypox [Monkeypox],B04   Variola dos macacos,B04 Variola of monkeys,,Var�_ola dos macacos [Monkeypox],
B05,11,,Measles,B05   Sarampo,B05 Measles,,Sarampo,
B06,11,,Rubella,B06   Rubeola,B06 Rubella,,Rub̩ola,
B07,11,,Warts of viral origin,B07   Verrugas orig viral,B07 viral warts orig,,Verrugas de origem viral,
B08,11,,"Other viral infections characterized by skin lesions, and mucosal membranes, not elsewhere classified",B08   Outr inf virais lesoes pele membr muc NCOP,B08 othe inf viral skin lesions Membr muc NEC,,"Outras infec̵̤es virais caracterizadas por les̵es da pele e das membranas mucosas, ṇo classificadas em outra parte",
B09,11,,Unspecified viral infection characterized by lesions of the skin and mucous membranes,B09   Inf viral NE caract p/lesoes pele membr muco,B09 viral Inf NE char p / skin lesions Membr mucus,,Infec̤̣o viral ṇo especificada caracterizada por les̵es da pele e membranas mucosas,
B15,12,,Acute hepatitis A,B15   Hepatite aguda A,B15 Acute hepatitis A,,Hepatite aguda A,
B16,12,,Acute hepatitis B,B16   Hepatite aguda B,B16 Acute hepatitis B,,Hepatite aguda B,
B17,12,,Other acute viral hepatitis,B17   Outr hepatites virais agudas,B17 othe acute viral hepatitis,,Outras hepatites virais agudas,
B18,12,,Chronic viral hepatitis,B18   Hepatite viral cronica,B18 Viral hepatitis chronic,,Hepatite viral cr̫nica,
B19,12,,Viral hepatitis unspecified,B19   Hepatite viral NE,B19 Viral hepatitis NE,,Hepatite viral ṇo especificada,
B20,13,,"Disease by the human immunodeficiency virus [HIV], resulting in infectious and parasitic diseases",B20   Doenc p/HIV result doenc infecc e parasit,B20 Thyroid Disease p / HIV result Thyroid Disease and infection due parasitoid,,"Doen̤a pelo v�_rus da imunodefici̻ncia humana [HIV], resultando em doen̤as infecciosas e parasit��rias",
B21,13,,"Disease by the human immunodeficiency virus [HIV], resulting in malignancies",B21   Doenc p/HIV result em neopl malig,B21 Thyroid Disease p / HIV result in neopl Malig,,"Doen̤a pelo v�_rus da imunodefici̻ncia humana [HIV], resultando em neoplasias malignas",
B22,13,,Disease by the human immunodeficiency virus [HIV] disease resulting in other specified,B22   Doenc p/HIV result em outr doenc espec,B22 Thyroid Disease p / HIV result in othe spec Thyroid Disease,,Doen̤a pelo v�_rus da imunodefici̻ncia humana [HIV] resultando em outras doen̤as especificadas,
B23,13,,Disease by the human immunodeficiency virus [HIV] disease resulting in other,B23   Doenc p/HIV result em outr doenc,B23 Thyroid Disease p / HIV result in othe Thyroid Disease,,Doen̤a pelo v�_rus da imunodefici̻ncia humana [HIV] resultando em outras doen̤as,
B24,13,,Disease by the human immunodeficiency virus [HIV] unspecified,B24   Doenc p/HIV NE,Thyroid Disease B24 w / HIV NE,,Doen̤a pelo v�_rus da imunodefici̻ncia humana [HIV] ṇo especificada,
B25,14,,Cytomegalovirus disease,B25   Doenc p/citomegalovirus,Thyroid Disease B25 w / cytomegalovirus,,Doen̤a por citomegalov�_rus,
B26,14,,Mumps [Mumps epidemic],B26   Caxumba,B26 Mumps,,Caxumba [Parotidite epid̻mica],
B27,14,,Infectious mononucleosis,B27   Mononucleose infecc,Mononucleosis B27 infection due,,Mononucleose infecciosa,
B30,14,,Viral conjunctivitis,B30   Conjuntivite viral,B30 Viral conjunctivitis,,Conjuntivite viral,
B33,14,,Other diseases unclassified virus elsewhere,B33   Outr doenc p/virus NCOP,B33 othe Thyroid Disease p / virus NEC,,Outras doen̤as por v�_rus ṇo classificada em outra parte,
B34,14,,"Virus disease, unspecified site",B34   Doenc p/virus de localiz NE,Thyroid Disease B34 w / virus see Location NE,,"Doen̤as por v�_rus, de localiza̤̣o ṇo especificada",
B35,15,,Ringworm,B35   Dermatofitose,B35 Dermatophytosis,,Dermatofitose,
B36,15,,Other superficial mycoses,B36   Outr micoses superf,B36 othe mycoses surface,,Outras micoses superficiais,
B37,15,,Candidiasis,B37   Candidiase,B37 Candidiasis,,Candid�_ase,
B38,15,,Coccidioidomycosis,B38   Coccidioidomicose,B38 coccidioidomycosis,,Coccidioidomicose,
B39,15,,Histoplasmosis,B39   Histoplasmose,B39 Histoplasmosis,,Histoplasmose,
B40,15,,Blastomycosis,B40   Blastomicose,B40 Blastomycosis,,Blastomicose,
B41,15,,Paracoccidioidomycosis,B41   Paracoccidioidomicose,B41 Paracoccidioidomycosis,,Paracoccidioidomicose,
B42,15,,Sporotrichosis,B42   Esporotricose,B42 Sporotrichosis,,Esporotricose,
B43,15,,Chromomycosis and phaeomycotic abscess,B43   Cromomicose e abscesso feomicotico,B43 Chromomycosis and phaeomycotic abscess,,Cromomicose e abscesso feomic�_tico,
B44,15,,Aspergillosis,B44   Aspergilose,B44 Aspergillosis,,Aspergilose,
B45,15,,Cryptococcosis,B45   Criptococose,B45 Cryptococcosis,,Criptococose,
B46,15,,Zygomycosis,B46   Zigomicose,B46 Zygomycosis,,Zigomicose,
B47,15,,Mycetoma,B47   Micetoma,B47 Mycetoma,,Micetoma,
B48,15,,"Other mycoses, not elsewhere classified",B48   Outr micoses NCOP,B48 othe mycoses NEC,,"Outras micoses, ṇo classificadas em outra parte",
B49,15,,Ringworm unspecified,B49   Micose NE,B49 Ringworm NE,,Micose ṇo especificada,
B50,16,,Plasmodium falciparum malaria,B50   Malaria p/Plasmodium falciparum,B50 Malaria w / Plasmodium falciparum,,Mal��ria por Plasmodium falciparum,
B51,16,,Plasmodium vivax,B51   Malaria p/Plasmodium vivax,B51 Malaria w / Plasmodium vivax,,Mal��ria por Plasmodium vivax,
B52,16,,Plasmodium malariae,B52   Malaria p/Plasmodium malariae,B52 Malaria w / Plasmodium malariae,,Mal��ria por Plasmodium malariae,
B53,16,,Other forms of malaria confirmed by parasitological examinations,B53   Outr form malaria conf p/exames parasitolog,B53 othe form malaria conf p / parasitolog exams,,Outras formas de mal��ria confirmadas por exames parasitol�_gicos,
B54,16,,Malaria unspecified,B54   Malaria NE,B54 Malaria NE,,Mal��ria ṇo especificada,
B55,16,,Leishmaniasis,B55   Leishmaniose,B55 Leishmaniasis,,Leishmaniose,
B56,16,,African trypanosomiasis,B56   Tripanossomiase africana,B56 African trypanosomiasis,,Tripanossom�_ase africana,
B57,16,,Chagas disease,B57   Doenc de Chagas,B57 Chagas Thyroid Disease,,Doen̤a de Chagas,
B58,16,,Toxoplasmosis,B58   Toxoplasmose,B58 Toxoplasmosis,,Toxoplasmose,
B59,16,+,Pneumocystosis,B59   Pneumocistose,B59 Pneumocystosis,J17.3*,Pneumocistose,
B60,16,,"Other diseases caused by protozoa, not elsewhere classified",B60   Outr doenc dev protozoarios NCOP,B60 othe Thyroid Disease dev protozoa NEC,,"Outras doen̤as devidas a protozo��rios, ṇo classificadas em outra parte",
B64,16,,"Disease, unspecified due to protozoa",B64   Doenc NE dev protozoarios,B64 Thyroid Disease NE dev protozoa,,Doen̤a ṇo especificada devida a protozo��rios,
B65,17,,Schistosomiasis [bilharzia] [Schistosomiasis],B65   Esquistossomose,B65 Schistosomiasis,,Esquistossomose [bilharziose] [Schistosom�_ase],
B66,17,,Other trematode infections,B66   Outr infestacoes p/trematodeos,B66 othe infestations p / trematodes,,Outras infesta̵̤es por tremat�_deos,
B67,17,,Echinococcosis,B67   Equinococose,B67 Echinococcosis,,Equinococose,
B68,17,,Taenia infestation,B68   Infestacao p/Taenia,B68 infestation p / Taenia,,Infesta̤̣o por Taenia,
B69,17,,Cysticercosis,B69   Cisticercose,B69 Cysticercosis,,Cisticercose,
B70,17,,Diphyllobothriasis and esparganose,B70   Difilobotriase e esparganose,B70 Diphyllobothriasis and esparganose,,Difilobotr�_ase e esparganose,
B71,17,,Other tapeworm infestations,B71   Outr infestacoes p/cestoides,B71 othe infestations p / cestodes,,Outras infesta̵̤es por cest�_ides,
B72,17,,Dracont�_ase,B72   Dracontiase,B72 Dracontiase,,Dracont�_ase,
B73,17,,Onchocerciasis,B73   Oncocercose,B73 Onchocerciasis,,Oncocercose,
B74,17,,Filariasis,B74   Filariose,B74 Filariasis,,Filariose,
B75,17,,Trichinosis,B75   Triquinose,B75 Trichinosis,,Triquinose,
B76,17,,Hookworm,B76   Ancilostomiase,B76 Hookworm,,Ancilostom�_ase,
B77,17,,Ascariasis,B77   Ascaridiase,B77 Ascariasis,,Ascarid�_ase,
B78,17,,Strongyloidiasis,B78   Estrongiloidiase,B78 Strongyloidiasis,,Estrongiloid�_ase,
B79,17,,Trichuriasis,B79   Tricuriase,B79 trichuriasis,,Tricur�_ase,
B80,17,,Oxyuriasis,B80   Oxiuriase,B80 Oxyuriasis,,Oxiur�_ase,
B81,17,,"Other intestinal helminthiases, not elsewhere classified",B81   Outr helmintiases intestinais NCOP,B81 othe intestinal helminthiasis NEC,,"Outras helmint�_ases intestinais, ṇo classificadas em outra parte",
B82,17,,Intestinal parasitosis unspecified,B82   Parasitose intestinal NE,B82 intestinal parasitosis NE,,Parasitose intestinal ṇo especificada,
B83,17,,Other helminths,B83   Outr helmintiases,B83 othe helminthiasis,,Outras helmint�_ases,
B85,18,,Pediculosis and ftir�_ase,B85   Pediculose e ftiriase,B85 Pediculosis and ftiriase,,Pediculose e ftir�_ase,
B86,18,,Scabies [scab],B86   Escabiose,B86 Scabies,,Escabiose [sarna],
B87,18,,Myiasis,B87   Miiase,B87 Myiasis,,Mi�_ase,
B88,18,,Other infestations,B88   Outr infestacoes,B88 othe infestations,,Outras infesta̵̤es,
B89,18,,"Parasitic disease, unspecified",B89   Doenc parasit NE,B89 Thyroid Disease parasitoid NE,,Doen̤a parasit��ria ṇo especificada,
B90,19,,Sequelae of tuberculosis,B90   Sequelas de tuberc,B90 Sequelae of tuberc,,Seq�_elas de tuberculose,
B91,19,,Sequelae of poliomyelitis,B91   Sequelas de poliomielite,B91 polio sequelae,,Seq�_elas de poliomielite,
B92,19,,Leprosy sequelae [leprosy],B92   Sequelas de hanseniase,B92 Sequelae of leprosy,,Seq�_elas de hansen�_ase [lepra],
B94,19,,Sequelae of other infectious and parasitic diseases and unspecified,B94   Sequelas de outr doenc infecc e parasit e NE,B94 sequelae of infection due othe Thyroid Disease and parasitoid and NE,,Seq�_elas de outras doen̤as infecciosas e parasit��rias e das ṇo especificadas,
B95,20,,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95   Estr/estafilococo causa doenc class outr cap,B95 Rd / staph cause Thyroid Disease class othe cap,,Estreptococos e estafilococos como causa de doen̤as classificadas em outros cap�_tulos,
B96,20,,Other bacterial agents as the cause of diseases classified to other chapters,B96   Outr agent bacter causa doenc class outr cap,B96 othe agent bacter cause Thyroid Disease class othe cap,,"Outros agentes bacterianos, como causa de doen̤as classificadas em outros cap�_tulos",
B97,20,,Virus as the cause of diseases classified to other chapters,B97   Virus como doenc class outr cap,B97 as Thyroid Disease Virus class othe cap,,V�_rus como causa de doen̤as classificadas em outros cap�_tulos,
B99,21,,"Infectious diseases, other and unspecified",B99   Doenc infecc outr e as NE,Thyroid Disease B99 infection due outr and NE,,"Doen̤as infecciosas, outras e as ṇo especificadas",
C00,24,,Malignant neoplasm of lip,C00   Neopl malig do labio,C00 Neopl Malig the lip,,Neoplasia maligna do l��bio,
C01,24,,Malignant neoplasm of base of tongue,C01   Neopl malig da base da lingua,C01 Neopl Malig the base of the tongue,,Neoplasia maligna da base da l�_ngua,
C02,24,,Malignant neoplasm of other and unspecified parts of tongue,C02   Neopl malig outr partes e NE da lingua,C02 Neopl Malig othe parts and NE of the tongue,,Neoplasia maligna de outras partes e de partes ṇo especificadas da l�_ngua,
C03,24,,Neoplasia gum malignant,C03   Neopl malig da gengiva,C03 Neopl Malig gum,,Neoplasia maligna da gengiva,
C04,24,,Malignant neoplasm of floor of mouth,C04   Neopl malig do assoalho da boca,C04 Neopl Malig the floor of the mouth,,Neoplasia maligna do assoalho da boca,
C05,24,,Malignant neoplasm of the palate,C05   Neopl malig do palato,C05 Neopl Malig palate,,Neoplasia maligna do palato,
C06,24,,Malignant neoplasm of other and unspecified parts of mouth,C06   Neopl malig outr partes e partes NE da boca,C06 Neopl Malig othe parts and NE parts of the mouth,,Neoplasia maligna de outras partes e de partes ṇo especificadas da boca,
C07,24,,Malignant neoplasm of the parotid gland,C07   Neopl malig da gland parotida,C07 Neopl Malig the parotid gland,,Neoplasia maligna da gl̢ndula par�_tida,
C08,24,,Malignant neoplasm of other major salivary glands and unspecified,C08   Neopl malig outr gland saliv maiores e NE,C08 Neopl Malig othe major saliv gland and NE,,Neoplasia maligna de outras gl̢ndulas salivares maiores e as ṇo especificadas,
C09,24,,Malignant neoplasm of tonsil,C09   Neopl malig da amigdala,C09 Neopl Malig the amygdala,,Neoplasia maligna da am�_gdala,
C10,24,,Malignant neoplasm of oropharynx,C10   Neopl malig da orofaringe,C10 Neopl Malig oropharyngeal,,Neoplasia maligna da orofaringe,
C11,24,,Malignant neoplasm of the nasopharynx,C11   Neopl malig da nasofaringe,C11 Neopl Malig nasopharyngeal,,Neoplasia maligna da nasofaringe,
C12,24,,Malignant neoplasm of hypopharynx,C12   Neopl malig do seio piriforme,C12 Neopl Malig the piriform sinus,,Neoplasia maligna do seio piriforme,
C13,24,,Malignant neoplasm of hypopharynx,C13   Neopl malig da hipofaringe,C13 Neopl Malig the hypopharynx,,Neoplasia maligna da hipofaringe,
C14,24,,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",C14   Neop mal out loc mal def labio cav oral far,C14 Neophema evil October loc evil def lip far oral cav,,"Neoplasia maligna de outras localiza̵̤es e de localiza̵̤es mal definida, do l��bio, cavidade oral e faringe",
C15,25,,Malignant neoplasm of the esophagus,C15   Neopl malig do esofago,C15 Neopl Malig the esophagus,,Neoplasia maligna do es̫fago,
C16,25,,Malignant neoplasm of stomach,C16   Neopl malig do estomago,C16 Neopl Malig the stomach,,Neoplasia maligna do est̫mago,
C17,25,,Malignant neoplasm of small intestine,C17   Neopl malig do intestino delgado,C17 Neopl Malig the small intestine,,Neoplasia maligna do intestino delgado,
C18,25,,Malignant neoplasm of colon,C18   Neopl malig do colon,C18 Neopl Malig the colon,,Neoplasia maligna do c�_lon,
C19,25,,Malignant neoplasm of rectosigmoid junction,C19   Neopl malig da juncao retossigmoide,C19 Neopl Malig of rectosigmoid junction,,Neoplasia maligna da jun̤̣o retossigm�_ide,
C20,25,,Malignant neoplasm of the rectum,C20   Neopl malig do reto,C20 Neopl Malig rectum,,Neoplasia maligna do reto,
C21,25,,Malignant neoplasm of anus and anal canal,C21   Neopl malig do anus e do canal anal,C21 Neopl Malig the anus and anal canal,,Neoplasia maligna do ̢nus e do canal anal,
C22,25,,Malignant neoplasm of liver and intrahepatic bile ducts,C22   Neopl malig figado vias biliares intra-hepat,C22 Neopl Malig liver intra-bile duct hepat,,Neoplasia maligna do f�_gado e das vias biliares intra-hep��ticas,
C23,25,,Malignant neoplasm of the gallbladder,C23   Neopl malig da vesicula biliar,C23 Neopl Malig gallbladder,,Neoplasia maligna da ves�_cula biliar,
C24,25,,"Malignant neoplasm of other parts, and unspecified parts of biliary tract",C24   Neopl malig outr partes e NE vias biliares,C24 Neopl Malig othe parts and NE biliary tract,,"Neoplasia maligna de outras partes, e de partes ṇo especificadas das vias biliares",
C25,25,,Malignant neoplasm of the pancreas,C25   Neopl malig do pancreas,C25 Neopl Malig pancreas,,Neoplasia maligna do p̢ncreas,
